,id,document,predicted_label
1,                형주              ,커즈와 드디어 이겼네칸나와 우승했다페이커오늘 고기먹겠당,0.47289252
2,                우우가가우가가              ,갓정수 시즌내내 실험하고 있던거 ㄹㅇ입니까순위권 유지만 하고 실험하다가 결승은 뚝딱ㄷㄷ결승전에 실험결과 제출하는 거 보소ㅋㅋㅋㅋ젠지 박탈감 심할듯ㅠ,0.07477215
3,                양우혁              ,페이커 경기 합데스 단 ,0.35866478
4,                고승표              ,결승 보면서 티원 팬인데도 젠지의 밴픽과 경기력에 대해 안타까운 생각이 많이 드는 게임이었음 작년 스프링 결승처럼 판테탈리 바텀조합같은 특이한 픽이 나온것도 아닌 더 좋은 픽들이 있는데도 의문스러운 밴픽이 자꾸 나온듯,0.35377273
5,                이태하              ,여러분은 누군가의 소확행을 보고 계십니다,0.81879526
8,                차니              , 다들 제 각각 해설 하다가 한명이 티 하니까 다 같이 원 하는거 왤케 웃기눜ㅋㅋㅋㅋㅋㅋ 티원ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.6786004
9,                연제혁              , 그의 대회텐션 ㄷㄷ 이게 매력이지,0.4123999
10,                이상곤              ,결승전페이커 데스커즈 데스테디 데스 ㄷㄷ,0.5190789
11,                정병관              ,테디의 비공식 펜타 너무 아쉽다 펜타킬이었으면 더 좋았을텐데,0.6701216
12,                Sehyun Kwon              , 아니 이 체력에 점멸 안쓰고 그냥 무빙으로 피하는 베짱 ㄷㄷ,0.643409
13,                훌라훌라              ,아니 웃긴게 트레쉬 토크를 을프랑 엠바션이 함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.20868582
14,                김용진              ,  으로 빨리 이기고 회식하는게 저의 소확행이에요,0.8739959
15,                SH C              , 오늘도 전기고문 당하는 김동준,0.26868886
16,                박진              ,페이커  저는 클라이드를 만나면 전투력이 두배 상승합니다,0.60504663
17,                엔지              ,거의 젠지콩는 까야 제맛이지 수준인데 는 항상 젠지만 만나면 전투력이 배는 오르는거 같애,0.038368315
18,                고수              ,년넘게 전세계를 휩쓸었음에도 불구하고 패배에 분해 눈물 흘릴줄 아는 진짜 승부사 페이커 그리고 그 눈물을 원동력 삼아 한층 더 성장한 페이커 레전드 네버 다이 영상을 보면 아직도 소름이 돋고 너무 멋있습니다 페이커선수가 은퇴하기 전까지 그 뜨거운 승부욕 보여주시면 감사하겠습니다  살아있는 레전드페이커 선수가 다시 롤드컵을 들어올리는 장면을 꼭보고 승리의눈물을 봤으면 좋겠습니다 페이커선수 화이팅,0.9983753
19,                뀨꾸꿀뀨뀰뀨?              ,커즈 진짜 맘고생 심했을텐데 우승으러 모든걸 털어버리고 우리 롤드컵까지 우승합시다,0.2485187
20,                Jong Su Choi              ,김정수 감독 이정도면 롤드컵 청부사가 아니고 그냥 강팀 제조업체 대표같다 ㄷㄷㄷㄷ,0.6438246
